artist,song,video
 Enoch , Eyes on the road,Zoo York - E.S.T 4
 50 Cent , If I can't (instrumental),Zoo York - E.S.T 4
 50 Cent , P.I.M.P. (instrumental),Zoo York - E.S.T 4
 Chad Vangaalen , Bare Feet On Wet Griptape,Girl/Chocolate - Pretty Sweet Tour
 Shannon and The Clams , Into A Dream,Girl/Chocolate - Pretty Sweet Tour
 No Age , C'mon Stimmung,Girl/Chocolate - Pretty Sweet Tour
 Nomeansno , Brainless Wonder,VOX - Black & Blue: Volume Two
 Suicidal , Won't Fall In Love Today,VOX - Black & Blue: Volume Two
 Gang Starr , Now You're Mine,101 - Falling Down
 Grinderman , No Pussy Blues,Cliché - Déja Vu
 Sex Pistols , Anarchy In The Uk,Cliché - Déja Vu
  TV On The Radio , Satellite,ON Video - Winter 2004
  Ms. John Soda , Unsleeping,ON Video - Winter 2004
  Soviet , Marbleyezed,ON Video - Winter 2004
 Lou Reed ," Heroine
",Psychotropic Shit
 Shannon & The Clams ," I Don't Wanna Be In a Cult No More
",Psychotropic Shit
  Fossil , Rocheda,Element Brazil - ?Visca!
  Marcos Maciel , Quando Canto,Element Brazil - ?Visca!
  Constantina , Depois da Euforia,Element Brazil - ?Visca!
 Jim Johnston , Assman,Hook-Ups - Destroying America
 Geto Boys , Damn It Feels Good to Be A Gangsta,Hook-Ups - Destroying America
  Earthless , From The Ages,Volcom - True To This
  The Resonars , Run Kodiak Run,Volcom - True To This
 Sepia , Supersonic,Etnies - Steppin' It Up In Europe
 Obrint Pas , La Flama,Etnies - Steppin' It Up In Europe
 Justin Timberlake , Like I love you (instrumental),Zoo York - E.S.T 4
 Jaill , Waste A Lot Of Things,Girl/Chocolate - Pretty Sweet Tour
 Ramsey Lewis , Do What You Wanna,VOX - Black & Blue: Volume Two
 Radio Birdman , Aloha Steve And Danno,VOX - Black & Blue: Volume Two
  Excel , Seeing Insane,Santa Cruz - V-Day
 Devo , Smart Patrol/Mr. DNA,Cliché - Déja Vu
 Prince , Get Off,Cliché - Déja Vu
  Pele , Gymnasium,ON Video - Winter 2004
 Vast , Be With Me,ON Video - Winter 2004
 Death Grips , Guillotine,Psychotropic Shit
 Snoop Doggy Dog , Gin & Juice,Hook-Ups - Destroying America
  The Resonars , Yes Grosvenor,Volcom - True To This
  Sam Flax , Another Day,Volcom - True To This
 Whysome , Avalanche,Etnies - Steppin' It Up In Europe
 Skalariak , Luz Rebelde,Etnies - Steppin' It Up In Europe
 Skalariak , Corazon Rebelde,Etnies - Steppin' It Up In Europe
 Golden Triangle , Chico De Mayo,Girl/Chocolate - Pretty Sweet Tour
  Hot Water Music , Southeast First,411VM - Tampa 2000
  Hot Water Music , Our Own Way,411VM - Tampa 2000
 The Saints , Lost And Found,VOX - Black & Blue: Volume Two
 Eric Clapton , Cocaine,VOX - Black & Blue: Volume Two
 Fleetwood Mac , Rhiannon,So Gnar
 The Brian Jonestown Massacre , Their Satanic Majesties Second Request,So Gnar
 Nina Simone , It Don't Mean A Thing,"Stussy - It Ain't Where Ya From, It's Where Ya At..."
 Yeah Yeah Yeahs , Turn Into,"Stussy - It Ain't Where Ya From, It's Where Ya At..."
 Gwen Stefani , Danger Zone,Death - Escape From Boredom
 Depeche Mode , Photographic,Death - Escape From Boredom
  Rabies , Why,Santa Cruz - V-Day
  The Highway Murderers , Had To Die,Santa Cruz - V-Day
 M83 , The Highest Journey,Cliché - Déja Vu
 Serge Gainsbourg , Aux armes et Caetera,Cliché - Déja Vu
  Orphan , Noah23 Chicken Pox Inst.,ON Video - Winter 2004
  Fugazi , Waiting Room,ON Video - Winter 2004
  TV On The Radio , Satellite,ON Video - Winter 2004
 Rhythm Heritage , Theme from S.W.A.T.,Hook-Ups - Destroying America
 Danzig , Mother,Hook-Ups - Destroying America
  Mozes and The Firstborn , Time's A Headache,Volcom - True To This
  Zorch , Ocean's Dawn,Volcom - True To This
  Night Beats , War Games,Volcom - True To This
 Jaill , Everyone's a Bitch,Girl/Chocolate - Pretty Sweet Tour
  Hot Water Music , No Division,411VM - Tampa 2000
 Elvis Presley , Burnin Love,VOX - Black & Blue: Volume Two
 Jefferson Airplane , Embryonic Journey,So Gnar
 The Rolling Stones , Under My Thumb,"Stussy - It Ain't Where Ya From, It's Where Ya At..."
 T. Rex , Metal Guru,"Stussy - It Ain't Where Ya From, It's Where Ya At..."
 Lighthouse Family , Free,"Stussy - It Ain't Where Ya From, It's Where Ya At..."
 New York Dolls , Courageous Cat theme,Death - Escape From Boredom
  The Highway Murderers , Death Race 5000,Santa Cruz - V-Day
  Cacti Widders , Bad Mother Fucker,Santa Cruz - V-Day
 Nina Simone , Sinnerman,Cliché - Déja Vu
  Orphan , Boombox Graveyard,ON Video - Winter 2004
 Poison , Nothin' But A Good Time,Hotwax
 Apache Indian , Boom Shak A Lak (Dumb and Dumber soundtrack),Hotwax
 N.W.A. , Straight Outta Compton,Hook-Ups - Destroying America
  David Bowie , Ziggy Stardust,Hook-Ups - Destroying America
  The Coombe , Pluro Dolo V,Volcom - True To This
  Mmos , And I Do Set My Bow In The Clouds,Volcom - True To This
  ((sounder)) , Swallowed By The Mist (Feat. Bonnie 'Prince' Billy),Volcom - True To This
  One Man Army , The Old Songs,411VM - Tampa 2000
 Billy Idol , Eyes Without a Face,So Gnar
 Black Sabbath , Wheels of Confusion,So Gnar
 DJ Shadow , High Noon,"Stussy - It Ain't Where Ya From, It's Where Ya At..."
 The Moody Blues , Go Now,"Stussy - It Ain't Where Ya From, It's Where Ya At..."
 The Wipers , ?,Foundation - Duty Now For The Future
 Devo , ?,Foundation - Duty Now For The Future
 The Grass Roots , Let's Live For Today,Time Will Tell
 Jimmy Cliff , Peace Officer,Time Will Tell
  Cacti Widders , Desert Skies,Santa Cruz - V-Day
  Cacti Widders , White Whale,Santa Cruz - V-Day
 The White Stripes , Fell In Love With A Girl,Death - Escape From Boredom
 Marc Almond , The Days Of Pearly Spencer,Death - Escape From Boredom
  Odd Nosdam , Le Mix Tape Delux ,ON Video - Winter 2004
  Diverse , Certified,ON Video - Winter 2004
 Rod Steward , Do You Think I'm Sexy?,Hotwax
 The Beatles , The Continuing Story Of Bungalow Bill,Hotwax
 Smashing Pumpkins , Here Is No Why,Hotwax
  Quannum Spectrum , Looking Over a City,411VM - Tampa 2000
 The Dracs , ?,Foundation - Duty Now For The Future
 Butthole Surfers , ?,Foundation - Duty Now For The Future
 The Beatles , I've Got a Feeling,Ruthless
 Bread , The Guitar Man,Ruthless
 David Bowie & Trent Reznor , Hallo Spaceboy,Osiris - Subject To Change
 Three 6 Mafia , Baby Mama,Time Will Tell
 Arcade Fire , Neighborhood #2 (laika),Time Will Tell
 Cam'ron , Triple Up,Time Will Tell
  Running On Fumes , Wrong Impression,Santa Cruz - V-Day
  Running On Fumes , Stiletto Bombdrop,Santa Cruz - V-Day
 The Ramones , Lobotomy,Death - Escape From Boredom
 Sisters of Mercy , Temple of Love,Death - Escape From Boredom
 Siouxsie and The Banshees , Kiss Them For Me,Death - Escape From Boredom
 Johnny Cash , When The Man Comes Around,Faith - Reason To Believe
  Odd Nosdam , Le Mix Tape Delux ,ON Video - Winter 2004
  Sol , The Box Car,ON Video - Winter 2004
  Diverse , Explosive,ON Video - Winter 2004
 Newcleus , Jam On It,Turf - Turf's Up!
 Led Zeppelin , The Girl I Love She Got Long Black Wavy Hair,Turf - Turf's Up!
 ZZ Top , Gimme All Your Lovin',Hotwax
 Elton John , I'm Still Standing,Hotwax
 Man or Astroman , ?,Foundation - Duty Now For The Future
 Satans Pilgrim , ?,Foundation - Duty Now For The Future
 Delta 72 , ?,Foundation - Duty Now For The Future
 The Beatles , Blue Jay Way,Ruthless
 Gilbert O'Sullivan , Alone Again,Ruthless
 Murder City Devils , I Want A Lot Now (So Come On),Osiris - Subject To Change
 The Venturas , Apache (Sin video),Osiris - Subject To Change
 Ice Cube , Today Was A Good Day,Time Will Tell
 Talking Heads , Our House In The Middle Of Our Street,Time Will Tell
  Running On Fumes , Tough As Nails,Santa Cruz - V-Day
  The Adolescents , Rip It Up,Santa Cruz - V-Day
  The Adolescents , No Way,Santa Cruz - V-Day
 Curtis Mayfield , Superfly,New Deal - Da Deal Is Dead
 Sugarhill Gang , Rappers Delight,New Deal - Da Deal Is Dead
 South , Paint the Silence (Unkle remix),ON Video - Spring 2002
 The Album Leaf , Asleep,ON Video - Spring 2002
 George Thorogood , Get A Haircut,Death - Escape From Boredom
 The Idle Race , Days of the Broken Arrows,Death - Escape From Boredom
 Pixies , Head On,Faith - Reason To Believe
 Smashing Pumpkins , Silverfuck,Faith - Reason To Believe
  Daedelus , Without Words,ON Video - Winter 2004
  Push Button Objects , Interlude,ON Video - Winter 2004
  Odd Nosdam , Le Mix Tape Delux ,ON Video - Winter 2004
 EPMD , It's My Thing,Turf - Turf's Up!
 The Click , Let's Get Drunk,Turf - Turf's Up!
 Modest Mouse , What People Are Made Of,Hotwax
 Kiss ," Let Me Go, Rock & Roll",Hotwax
 Dire Straits , Walk Of Life,Hotwax
 Ian Brown , Thriller,Ruthless
 Bob Dylan , Call Letter Blues,Ruthless
 Ramones , Garden of Serenity,Osiris - Subject To Change
 Danny Meyer , ?,Osiris - Subject To Change
 TV On The Radio , Wolf Like Me,Time Will Tell
 Guided By Voices , Tractor Rape Train,Time Will Tell
 Guided By Voices , Echoes Myron,Time Will Tell
  The Swayback , The Hounds of Denver,Santa Cruz - V-Day
  ADHD , Hot Ticket,Santa Cruz - V-Day
 Boogie Down Productions , Poisonous Products,New Deal - Da Deal Is Dead
 Organized Konfusion , Who Stole My Last Piece Of Chicken?,New Deal - Da Deal Is Dead
 Awol One & Daddy Kev , Worship,ON Video - Spring 2002
 Coltrane Motion , Slow Down Brother,ON Video - Spring 2002
  Black Flag , Loose Nut,Ohio Skateout
  Descendents , Pervert,Ohio Skateout
 Onyx , Shifftee,World Industries - New World Order
 The Goats , Burn the Flag,World Industries - New World Order
 The Rolling Stones , She's a Rainbow,Faith - Reason To Believe
  Odd Nosdam , Le Mix Tape Delux ,ON Video - Winter 2004
 TV On The Radio , Young Liars,ON Video - Winter 2004
 Orphan , Noah23 Chicken Pox Inst.,ON Video - Winter 2004
 Donny Hathaway , Tryin' Times,Turf - Turf's Up!
 Swizz Beatz , Top Down,Turf - Turf's Up!
 M.I.A. , Paper Planes,Turf - Turf's Up!
 Lil Wayne , Dipset 2 (instrumental),Ruthless
 Del Tha Funkee Homosapien , Mistadobalina,Osiris - Subject To Change
 Del Tha Funkee Homosapien , Positive Contact,Osiris - Subject To Change
 Wolfmother , Joker And The Thief,Time Will Tell
 Gwen Stefani , What You Waiting For?,Time Will Tell
 Egghunt , We All Fall Down,411VM - Issue 41
 The People Under The Stairs , The Slow Bullet,411VM - Issue 41
"  Blood, Sweat & Tears ", Lucretia MacEvil,Chocolate - Se Habla Canuck
  Har Mar Superstar , Power Lunch,Chocolate - Se Habla Canuck
 VCR , Mega God Blast,Puzzle Video - Fall 2006
 Zox , Carolyn,Puzzle Video - Fall 2006
 Rolando And The Soul Brothers , Phoenix City,New Deal - Da Deal Is Dead
 Mass Prophets , Dirt Brothers,New Deal - Da Deal Is Dead
 Nathaniel Merriweather , Book of the Month,ON Video - Spring 2002
 The Mole ," Moonrise, Night",ON Video - Spring 2002
  Firehose , Brave Captain,Ohio Skateout
  Bl'ast , Winding Down,Ohio Skateout
  Descendents , I Don't Want To Grow Up,Ohio Skateout
 Black Sheep , Black With N.V. (No Vision),World Industries - New World Order
 De La Soul , Eye Know,World Industries - New World Order
 Orphan , Info War,ON Video - Winter 2004
 Dexy's Midnight Runners , Come on Eileen,Faith - Reason To Believe
 Eagles of Death Metal , Flames Go Higher,Faith - Reason To Believe
 Men at Work , Who Can It Be Now?,Turf - Turf's Up!
 Too $hort , I Ain't Trippin',Turf - Turf's Up!
 Ray Charles , Mess Around,Turf - Turf's Up!
 Mobb Deep , Drop A Gem On 'Em,Ruthless
 Nina Simone , Feeling Good,Ruthless
 Love and Rocket , Lazy,Osiris - Subject To Change
 New Order , Age of consent,Osiris - Subject To Change
 Ocean Colourcene , Up On The Down Side,Time Will Tell
 Badly Drawn Boy , A Minor Incident,Time Will Tell
 Metal Fingers , Eucalyptus,Time Will Tell
 Ghostface Killah , Hideyaface (El,Time Will Tell
 The People Under The Stairs , Time To Rock Our Shit,411VM - Issue 41
 The Charlatans UK , Good Witch/Bad Witch,411VM - Issue 41
 Common , Payback Is A Grandmother,411VM - Issue 41
" Hot Carl, The Great Escape ", I've Heard,Puzzle Video - Fall 2006
 Symbolic One & Illmind , The Broke Song,Puzzle Video - Fall 2006
 Vangelis , Chariots Of Fire,New Deal - Da Deal Is Dead
 Curtis Mayfield , Pusherman,New Deal - Da Deal Is Dead
 Odd Nosdam , On Video Exclusive Pt. 2,ON Video - Spring 2002
 Juno , Killing It In A Quiet Way,ON Video - Spring 2002
 Hels Fornander , Nimbus,ON Video - Spring 2002
  Thin Lizzy , Jailnbreak,Mixed Nuts
  Gang Starr , Code Of The Streets,Mixed Nuts
  Gone , New Vengeance,Ohio Skateout
  Bl'ast , It's In My Blood,Ohio Skateout
  Black Flag , Drinking And Driving,Ohio Skateout
  Black Flag , Annihilate This Week,Ohio Skateout
  James Brown , Get On The Good Foot,Amsho:1
  Sneaker Pimps , Splinter,Amsho:1
  Tool , Undertow,Amsho:1
 Dr. Dre , Vibe (instrumental),World Industries - New World Order
 Rod Stewart , Stay With Me,Faith - Reason To Believe
 The Revels , Comanche,Turf - Turf's Up!
 A Band of Bees , Listening Man,Turf - Turf's Up!
 Cerren$y," ""Take Off"" Life at 30,000 feet",Turf - Turf's Up!
 Thunderclap Newman , Something in the Air,Ruthless
 Tom Petty & The Heartbreakers , Something In The Air,Osiris - Subject To Change
 Tristeza , City Of The Future,Osiris - Subject To Change
 Nirvana , Radio Friendly Unit Shifter,Osiris - Subject To Change
 Murs , Room 3:16,411VM - Issue 41
 Murs , My Story,411VM - Issue 41
 Fugazi , No Surprise,411VM - Issue 41
 Alexanders Dark Band , The Creature,Puzzle Video - Fall 2006
 Strange Fruit Project , Pinball,Puzzle Video - Fall 2006
  Steve Miller Band , Fly Like An Eagle,Element - Fine Artists Vol. 1
  Roni Size & DJ Die , Breakfast Tera,Powell - Magic
  Styles Of Beyond , Marco Polo,Powell - Magic
 All , Carnage,New Deal - Da Deal Is Dead
 Dobie , England,New Deal - Da Deal Is Dead
 Too Short , Life Is... Too Short,New Deal - Da Deal Is Dead
 Jel , Sunday Night,ON Video - Spring 2002
 Q & Not U , Nine Things Everybody Knows,ON Video - Spring 2002
  MC5 , Gotta Keep Moving,Mixed Nuts
  MC5 , Skunk,Mixed Nuts
  Metallica , Battery,Mixed Nuts
  Gone , Turned Over Stone,Ohio Skateout
  Black Flag , I Don't Care,Ohio Skateout
  Painted WiIlie , Cover Girl,Ohio Skateout
  Bad Brains , I And I Survive,Amsho:1
  Jane's Addiction , Ocean Size,Amsho:1
 Dolly Parton , Jolene,Faith - Reason To Believe
 Arch Enemy , Enemy Within,Faith - Reason To Believe
 Otis Redding , I've Been Loving You,Turf - Turf's Up!
 Al Green , Love Is A Beautiful Thing,Turf - Turf's Up!
 Lil' Wyte , Bye To The Bad Guy,Ruthless
 New Order , Age Of Consent,Osiris - Subject To Change
 Love and Rockets , So Alive,Osiris - Subject To Change
 Alien Crime Syndicate , Atmosphere,411VM - Issue 41
 DJ Frane , Boatman,411VM - Issue 41
 Afu,ra ,Puzzle Video - Fall 2005
" Artemus, Trafic De Sons ", Braquage,Puzzle Video - Fall 2005
 Strange Fruit Project , Soul Clap,Puzzle Video - Fall 2006
  Brick House , The Commodores,Element - Fine Artists Vol. 1
  Jack Costanzo , Sweet & Lovely (Cha Cha Cha),Powell - Magic
  Slayer , Tormentor,Powell - Magic
 Brand New Heavys , Who Makes The Loot?,New Deal - Da Deal Is Dead
 The Black Keys , No Trust,Satori - Mapping Time In Space
 The American Analog Set , Million Young,ON Video - Spring 2002
 Robert Pollard & His Soft Rock Renegades , Citizen Fighter,ON Video - Spring 2002
  Skullzone , Bludgeoning the Feeble,Hated - Fuck Life
  The GG All Stars ," 2,000 Tons of TNT",Hated - Fuck Life
  Melvins , Honey Bucket,Mixed Nuts
  Pete Rock & C.L. Smooth , The Main Ingredient,Mixed Nuts
  Painted WiIlie , 405,Ohio Skateout
  Black Flag , Wasted,Ohio Skateout
  Edgar Winter , Frankenstein,Amsho:1
  War , Cisco Kid,Amsho:1
 Donovan , Atlantis,Faith - Reason To Believe
 Jimi Hendrix , Hear My Train a Comin',Ruthless
 Gang of Four , At Home He's a Tourist,Ruthless
 Toto , Africa,Osiris - Subject To Change
 Supertramp , The Logical Song,Osiris - Subject To Change
 Jazzyfatnastees , The Lie,411VM - Issue 41
 The Nextmen , Mental Alchemy,411VM - Issue 41
 Jazzyfatnastees , The Wound,411VM - Issue 41
 Ancient Astronauts , Return To Backspin,Puzzle Video - Fall 2005
 Afu,ra ,Puzzle Video - Fall 2005
  Black Sabbath , Sweet Leaf,Element - Fine Artists Vol. 1
  Percy Faith , Black Magic Woman,Element - Fine Artists Vol. 1
  Jimi Hendrix , Foxy Lady,Element - Fine Artists Vol. 1
  Carlos Montoya , Soleares,Powell - Magic
  Puncho & His Latin Soul Brothers , Got Myself A Good Man,Powell - Magic
 Black Sabbath , Black Sabbath,48 Blocks - Lindsay Lohan
 The Kinks , Dedicated Follower of Fashion,48 Blocks - Lindsay Lohan
 Medeski Martin & Wood , ?,Foomo - Between Me and The Ground
  Devendra Banhart , Seahorse,Foomo - Between Me and The Ground
 Four Tet , High Fives,Satori - Mapping Time In Space
 Creation Rebel , Space Movement Section,Satori - Mapping Time In Space
 Tyler Hayden , Passage And the Bomarr Monk Untitled Interlude (feat. On),ON Video - Spring 2002
  Los Crudos ," That's Right, We're that Spic Band",Hated - Fuck Life
  Los Crudos , Poco A Poco,Hated - Fuck Life
  Ice Cube , Ghetto Bird,Hated - Fuck Life
  Descendents , I'm Not A Loser,Ohio Skateout
  Lawndale , The Drill,Ohio Skateout
  War , Spill The Wine,Amsho:1
  Carlton Livingston , Trodding Through The Jungle,Amsho:1
  Various Artists , Emotionalize,Amsho:1
 Talking Heads , (Nothing But) Flowers,Ruthless
 Gweedo , ?,Ruthless
 Rappin Hood , E Tudo No Men Nome,411VM - Issue 41
 Death In Vegas , Dirt,411VM - Issue 41
 Afu,ra ,Puzzle Video - Fall 2005
  A Tribe Called Quest , Steve Biko (Stir It Up),Element - Fine Artists Vol. 1
  Freestyle Fellowship , Inner City Boundaries,Element - Fine Artists Vol. 1
  C&W Guitars , Steel Guitar Rag,Powell - Magic
 David Bowie , Bombers,48 Blocks - Lindsay Lohan
 The Animals , Bring It On Home To Me,48 Blocks - Lindsay Lohan
  The Prodigy , Stand Up,Foomo - Between Me and The Ground
  Medeski Martin & Wood , Shine It,Foomo - Between Me and The Ground
  Kurious , Benetton,Foomo - Between Me and The Ground
 Justice ," Phantom 2
",Picture Fucking Perfect
 Golden Earring ," Twilight Zone
",Picture Fucking Perfect
 Charlie Hunter Group , Streets Sounds (feat. Mos Def),Satori - Mapping Time In Space
 Jel , In Fact!,ON Video - Spring 2002
 S. Process , A Boulder Tyconn or Enya,ON Video - Spring 2002
  Dicks , Dicks Hate the Police,Hated - Fuck Life
  Paper Lace , The Night Chicago Died,Hated - Fuck Life
  MDC , Dead Cops/America's So Straight,Hated - Fuck Life
  Lawndale , Streets Of Desire,Ohio Skateout
  Gone , Jungle Law,Ohio Skateout
  Bill Withers , Lovely Day,Amsho:1
  Kardinal Offishall , Money Jane,Amsho:1
  Hieroglyphics , At The Helm,Amsho:1
  Archive , Londinium,Amsho:1
 Raggamaffia & El Condorsito 2005 , Levante (cancion Linda),Puzzle Video - Fall 2005
  Lord Finesse And DJ Mike Smooth , Funky Technician,Element - Fine Artists Vol. 1
  Unknown , Rainy Night In Georgia,Element - Fine Artists Vol. 1
 Animal Collective , Did You See The Words,Digital - Imagine
 Primus , To Defy The Laws Of Tradition,Digital - Imagine
  Firehose , 4.29.92,Powell - Magic
  Minutemen , Anxious Mofo,Powell - Magic
 David Bowie & Bing Crosby , Little Drummer Boy,48 Blocks - Lindsay Lohan
  Dinosaur Jr. , The Wagon,Gordon & Smith - Footage
  Crossed Wire , Sound Salvation,Gordon & Smith - Footage
  Memories of Tomorrow , ?,Gordon & Smith - Footage
 Medeski Martin & Wood , ?,Foomo - Between Me and The Ground
 The Beatles ," Golden Slumbers, Carry That Weight, The End 
",Picture Fucking Perfect
 Motorhead ," Emergency
",Picture Fucking Perfect
 Menomena , TAOS,Picture Fucking Perfect
 Jel , Wontoncanofwhupass,ON Video - Spring 2002
 Jel , Programmed to Hunt 2007,ON Video - Spring 2002
 Sizzla , Do What Jah Say,Satori - Mapping Time In Space
 Fatback Band , Gotta Learn How to Dance,Satori - Mapping Time In Space
 The Cut Chemist , Bunkys Piek,Satori - Mapping Time In Space
  RBL Posse , A Lesson to be Learned,Hated - Fuck Life
  Anal Cunt , You're a Cop,Hated - Fuck Life
  Black Flag , Screw The Law,Ohio Skateout
  Dinosaur Jr. , Sludgefeast,Ohio Skateout
  Firehose , Under The Influence Of The Meat Puppets,Ohio Skateout
  Louis Jordan , What's the Use of Getting Sober,Element - Fine Artists Vol. 1
 Notorious B.I.G. , Let's Get It On (Rain in my Heart) (feat. Frank Sinatra & 2Pac),Digital - Imagine
  Hubbert Laws , Undecided,Powell - Magic
  Mad Skillz , Lick The Ballz,Powell - Magic
  Herbie Hancock , Rockit,Powell - Magic
  Jay,Z ,Powell - Magic
 Audionom , Kristall,Transworld - Right Foot Forward
 Bob Dylan , The Man In Me,Funhouse 3
 Motorhead , Jailbait,Funhouse 3
  Counter Clockwisemen , ?,Gordon & Smith - Footage
  Farside , Keep My Soul Awake,Gordon & Smith - Footage
 Roxy Music , Re,Picture Fucking Perfect
 Curtis Mayfield ," Pusher Man
",Picture Fucking Perfect
 Timonium , Crushed Discs,ON Video - Spring 2002
 Hels Fornander , Duration,ON Video - Spring 2002
" Anthony ""Sangie"" Davis & Lee Perry ", Words,Satori - Mapping Time In Space
 Augustos Pablo , East of The River Nile,Satori - Mapping Time In Space
 Lee Perry , Groovy Dub,Satori - Mapping Time In Space
  Fear , More Beer,Hated - Fuck Life
  Ancestors , Untitled,Hated - Fuck Life
  Project Pat , Niggas Got Me Fucked Up,Hated - Fuck Life
  Lawndale , 'Atta Boy Luther,Ohio Skateout
  Gone , Daisy Street,Ohio Skateout
  Ronny Jordan , After Hours,Element - Fine Artists Vol. 1
 Notorious B.I.G. , Blue Eyes Meets Bed Stuy (feat. Frank Sinatra),Digital - Imagine
 Electric Light Orchestra , Turn To Stone,Digital - Imagine
  The Clash , The Magnificent Dance,Powell - Magic
  Rhythm Heritage , Theme From Swat,Powell - Magic
  The Police , Voices In My Head,Powell - Magic
 The Spinners , The Rubberband Man,Transworld - Right Foot Forward
 MGMT , Time To Pretend,Transworld - Right Foot Forward
 Ultramagnetic MC's , Poppa Large (East Coast Mix),Transworld - Right Foot Forward
 Iggy Pop , Private Hell,Funhouse 3
 The Monkees , (I'm Not Your) Steppin' Stone,Funhouse 3
 Lard , The Power of Lard,Toy Machine - Welcome To Hell
 Misfits , London Dungeon,Toy Machine - Welcome To Hell
  Bruce Blizzard & The BBB's , ?,Gordon & Smith - Footage
 Funkadelic ," Super Stupid
",Picture Fucking Perfect
 The Rolling Stones , Wild Horses,Picture Fucking Perfect
 Europe , The Final Countdown,Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 Wolfmother , Where Eagles Have Been,Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 Stevie Wonder , Higher Ground,Satori - Mapping Time In Space
 Four Tet , You Were There With Me,Satori - Mapping Time In Space
  Phobia , Grind,Hated - Fuck Life
  Social Coma , She's a Lady,Hated - Fuck Life
  Bl'ast , Poison,Ohio Skateout
  Gone , Jungle Law,Ohio Skateout
  Gone , Unglued,Ohio Skateout
 Mobb Deep , Survival Of The Fittest,Digital - Imagine
 Dario , Brazil Beats,Digital - Imagine
  1000 Clowns , Pretty Liar,Powell - Magic
  The Jackson 5 , The Love You Save,Powell - Magic
 The Specials , You're Wondering Now,Powell - Magic
 The Polyphonic Spree , The Championship,Transworld - Right Foot Forward
 Siouxsie & The Banshees , Spellbound,Transworld - Right Foot Forward
 Patti Smith , Rock 'N Roll Nigger,Funhouse 3
 Siouxsie & The Banshees , Hong Kong Garden,Funhouse 3
 The Sundays , You´re not the only one I know,Toy Machine - Welcome To Hell
 Van Halen , I´m the one,Toy Machine - Welcome To Hell
 The Doors , My Wild Love,Kriza 4 Life
 Nancy Sinatra , Sugar Town,Kriza 4 Life
 Annuals , Brother,Cosmic Vomit
 Broken Social Scene Presents Kevin Drew , Farewell To The Pressure Kids,Cosmic Vomit
 Marshall Tucker Band , This Old Cowboy,Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 Michigan & Smiley , Nice Up The Dance,Satori - Mapping Time In Space
 Tortoire , Bubble Economy (Markus Popp remix),Satori - Mapping Time In Space
  Tumor Feast , Tumor Feast vs. Jesus Christ,Hated - Fuck Life
  OFF! , Black Thoughts,Hated - Fuck Life
  Ronject , Swayze Val Halla Dirt,Hated - Fuck Life
  Lawndale , Gone Fishin',Ohio Skateout
  SWA , Heartbreaker,Ohio Skateout
 The Rakes , Retreat,Digital - Imagine
 Santana , Evil Ways,Digital - Imagine
 TV On The Radio , Wolf Like Me,Digital - Imagine
 Jimi Hendrix , Bold As Love,Transworld - Right Foot Forward
 The Moody Blues , Ride My See,Funhouse 3
 Bad Brains , Supertouch/Shitfit,Funhouse 3
 Sonic Youth , Teenage Riot,Funhouse 3
 Amon Düül II , Jail House Frog,Slave - Radio Television
 Iron Claw , Pavement Artist,Slave - Radio Television
 Pink Floyd , Another Brick in the Wall (Part2),Toy Machine - Welcome To Hell
 Overton Berry Ensemble , Superstar,Toy Machine - Welcome To Hell
  Mobb Deep ," Right Back At You
",GX1000
 Force Of Nature ," Million Way Of Drum
",Tengu: God Of Mischief
 Beastie Boys ," In 3's
",Tengu: God Of Mischief
 Barrington Levy , Murderer,Kriza 4 Life
 Patti Smith , Dancing Barefoot,Kriza 4 Life
 Melody Club , Where Do I Belong,Kriza 4 Life
 The Black Angels , Bloodhounds On My Trail,Cosmic Vomit
 The Warlocks , Caveman Rock,Cosmic Vomit
 Afrika Bambaataa , Planet Rock (instrumental),Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 Carmen & Thompson , Follow Me,Four Duos - Don't Inhabit Your Mind Bag While Flaring More In Texas
 John Berberian , The Ond and The Fuzz,Satori - Mapping Time In Space
 Creation Rebel , Space Movement Section 4,Satori - Mapping Time In Space
  Paul Stanley , Track 50,Hated - Fuck Life
  Devo , Mecha,Hated - Fuck Life
  Lawndale , The Grotto,Ohio Skateout
  Gone , Drop The Hat,Ohio Skateout
 Bobby Womack , Across 110th Street,Digital - Imagine
 Mister Loveless , In Wonder,Transworld - Right Foot Forward
 Mister Loveless , It's Missing,Transworld - Right Foot Forward
 Golden Earring , Radar Love,Funhouse 3
 The Hives , No Pun Intended,Funhouse 3
 Pink Floyd , Breathe,Funhouse 3
 Brotha Lynch Hung , Rest in Piss,Slave - Radio Television
 Icecross , Jesus Freaks,Slave - Radio Television
 Jefferson Airplane , Somebody to Love,Toy Machine - Welcome To Hell
 Black Sabbath , Supertzar,Toy Machine - Welcome To Hell
 Black Sabbath , Megalomania,Toy Machine - Welcome To Hell
  Chuck Treece , American Athlete,Real - Kicked Out Of Everywhere
  Chuck Treece , Left Toe,Real - Kicked Out Of Everywhere
 Death And Vanilla ," Between Circles
",SPREADtheGOOD
